observation_date,BAA,BAA10YM,AAA
2011-01-01,6.09,2.70,5.04
2011-02-01,6.15,2.57,5.22
2011-03-01,6.03,2.62,5.13
2011-04-01,6.02,2.56,5.16
2011-05-01,5.78,2.61,4.96
2011-06-01,5.75,2.75,4.99
2011-07-01,5.76,2.76,4.93
2011-08-01,5.36,3.06,4.37
2011-09-01,5.27,3.29,4.09
2011-10-01,5.37,3.22,3.98
2011-11-01,5.14,3.13,3.87
2011-12-01,5.25,3.27,3.93
2012-01-01,5.23,3.26,3.85
2012-02-01,5.14,3.17,3.85
2012-03-01,5.23,3.06,3.99
2012-04-01,5.19,3.14,3.96
2012-05-01,5.07,3.27,3.80
2012-06-01,5.02,3.40,3.64
2012-07-01,4.87,3.34,3.40
2012-08-01,4.91,3.23,3.48
2012-09-01,4.84,3.12,3.49
2012-10-01,4.58,2.83,3.47
2012-11-01,4.51,2.86,3.50
2012-12-01,4.63,2.91,3.65
2013-01-01,4.73,2.82,3.80
2013-02-01,4.85,2.87,3.90
2013-03-01,4.85,2.89,3.93
2013-04-01,4.59,2.83,3.73
2013-05-01,4.73,2.80,3.89
2013-06-01,5.19,2.89,4.27
2013-07-01,5.32,2.74,4.34
2013-08-01,5.42,2.68,4.54
2013-09-01,5.47,2.66,4.64
2013-10-01,5.31,2.69,4.53
2013-11-01,5.38,2.66,4.63
2013-12-01,5.38,2.48,4.62
2014-01-01,5.19,2.33,4.49
2014-02-01,5.10,2.39,4.45
2014-03-01,5.06,2.34,4.38
2014-04-01,4.90,2.19,4.24
2014-05-01,4.76,2.20,4.16
2014-06-01,4.80,2.20,4.25
2014-07-01,4.73,2.19,4.16
2014-08-01,4.69,2.27,4.08
2014-09-01,4.80,2.27,4.11
2014-10-01,4.69,2.39,3.92
2014-11-01,4.79,2.46,3.92
2014-12-01,4.74,2.53,3.79
2015-01-01,4.45,2.57,3.46
2015-02-01,4.51,2.53,3.61
2015-03-01,4.54,2.50,3.64
2015-04-01,4.48,2.54,3.52
2015-05-01,4.89,2.69,3.98
2015-06-01,5.13,2.77,4.19
2015-07-01,5.20,2.88,4.15
2015-08-01,5.19,3.02,4.04
2015-09-01,5.34,3.17,4.07
2015-10-01,5.34,3.27,3.95
2015-11-01,5.46,3.20,4.06
2015-12-01,5.46,3.22,3.97
2016-01-01,5.45,3.36,4.00
2016-02-01,5.34,3.56,3.96
2016-03-01,5.13,3.24,3.82
2016-04-01,4.79,2.98,3.62
2016-05-01,4.68,2.87,3.65
2016-06-01,4.53,2.89,3.50
2016-07-01,4.22,2.72,3.28
2016-08-01,4.24,2.68,3.32
2016-09-01,4.31,2.68,3.41
2016-10-01,4.38,2.62,3.51
2016-11-01,4.71,2.57,3.86
2016-12-01,4.83,2.34,4.06
2017-01-01,4.66,2.23,3.92
2017-02-01,4.64,2.22,3.95
2017-03-01,4.68,2.20,4.01
2017-04-01,4.57,2.27,3.87
2017-05-01,4.55,2.25,3.85
2017-06-01,4.37,2.18,3.68
2017-07-01,4.39,2.07,3.70
2017-08-01,4.31,2.10,3.63
2017-09-01,4.30,2.10,3.63
2017-10-01,4.32,1.96,3.60
2017-11-01,4.27,1.92,3.57
2017-12-01,4.22,1.82,3.51
2018-01-01,4.26,1.68,3.55
2018-02-01,4.51,1.65,3.82
2018-03-01,4.64,1.80,3.87
2018-04-01,4.67,1.80,3.85
2018-05-01,4.83,1.85,4.00
2018-06-01,4.83,1.92,3.96
2018-07-01,4.79,1.90,3.87
2018-08-01,4.77,1.88,3.88
2018-09-01,4.88,1.88,3.98
2018-10-01,5.07,1.92,4.14
2018-11-01,5.22,2.10,4.22
2018-12-01,5.13,2.30,4.02
2019-01-01,5.12,2.41,3.93
2019-02-01,4.95,2.27,3.79
2019-03-01,4.84,2.27,3.77
2019-04-01,4.70,2.17,3.69
2019-05-01,4.63,2.23,3.67
2019-06-01,4.46,2.39,3.42
2019-07-01,4.28,2.22,3.29
2019-08-01,3.87,2.24,2.98
2019-09-01,3.91,2.21,3.03
2019-10-01,3.92,2.21,3.01
2019-11-01,3.94,2.13,3.06
2019-12-01,3.88,2.02,3.01
2020-01-01,3.77,2.01,2.94
2020-02-01,3.61,2.11,2.78
2020-03-01,4.29,3.42,3.02
